-	braille	hangul	ile	jyutping	kuping	kuping_alt	meyer_wempe	penkyamp	rao	sidneylau	slwong_phonetic	slwong_roman	yale
pm̩˩˧	△	ᄇᅠᆷ̤	bm5	bm5	pm13_2	pm13_2	pm̌	bḿ	bm5	bm5	ˏbm	ˏbm	bḿh
po˥	△	△	△	△	△	△	△	△	△	△	△	△	△
po˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
po˧	△	△	△	△	△	△	△	△	△	△	△	△	△
po˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
po˨	△	△	△	△	△	△	△	△	△	△	△	△	△
po˩	△	△	△	△	△	△	△	△	△	△	△	△	△
po˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
poi̯˥	△	△	△	△	△	△	△	△	△	△	△	△	△
poi̯˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
poi̯˧	△	△	△	△	△	△	△	△	△	△	△	△	△
poi̯˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
poi̯˨	△	△	△	△	△	△	△	△	△	△	△	△	△
poi̯˩	△	△	△	△	△	△	△	△	△	△	△	△	△
poi̯˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pok̚˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pok̚˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pok̚˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pok̚˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pok̚˨	△	△	△	△	△	△	△	△	△	△	△	△	△
pok̚˩	△	△	△	△	△	△	△	△	△	△	△	△	△
pok̚˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pom˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pom˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pom˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pom˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pom˨	△	△	△	△	△	△	△	△	△	△	△	△	△
pom˩	△	△	△	△	△	△	△	△	△	△	△	△	△
pom˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pon˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pon˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pon˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pon˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pon˨	△	△	△	△	△	△	△	△	△	△	△	△	△
pon˩	△	△	△	△	△	△	△	△	△	△	△	△	△
pon˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pop̚˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pop̚˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pop̚˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pop̚˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pop̚˨	△	△	△	△	△	△	△	△	△	△	△	△	△
pop̚˩	△	△	△	△	△	△	△	△	△	△	△	△	△
pop̚˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pot̚˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pot̚˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pot̚˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pot̚˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pot̚˨	△	△	△	△	△	△	△	△	△	△	△	△	△
pot̚˩	△	△	△	△	△	△	△	△	△	△	△	△	△
pot̚˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pou̯˥	⠏⠧⠀	ᄇᆃ	bou1	bou1	pou55^1	pou55^1	po	böw	bou1	bou1°	ˈbou	ˈbou	bōu
pou̯˥˧	↦ ⠏⠧⠀ [pou̯˥]	↦ ᄇᆃ [pou̯˥]	↦ bou1 [pou̯˥]	↦ bou1 [pou̯˥]	pou53^1	pou53^1	↦ po [pou̯˥]	↦ böw [pou̯˥]	↦ bou1 [pou̯˥]	bou1	↦ ˈbou [pou̯˥]	↦ ˈbou [pou̯˥]	bòu
pou̯˧	⠏⠧⠈	ᄇᆃ〮	bou3	bou3	pou33^3	pou33^3	pò	bôw	bou3	bou3	ˉbou	ˉbou	bou
pou̯˧˥	⠏⠧⠁	ᄇᆃ〯	bou2	bou2	pou35^2	pou35^2	pó	bõw	bou2	bou2	ˊbou	ˊbou	bóu
pou̯˨	⠏⠧⠂	ᄇᆃ̣	bou6	bou6	pou22_3	pou22_3	pō	bòw	bou6	bou6	ˍbou	ˍbou	bouh
pou̯˩	⠏⠧⠄	ᄇᆃ̲	bou4	bou4	pou11_1	pou11_1	pô	bow	bou4	bou4	ˌbou	ˌbou	bòuh
pou̯˩˧	⠏⠧⠠	ᄇᆃ̤	bou5	bou5	pou13_2	pou13_2	pǒ	bów	bou5	bou5	ˏbou	ˏbou	bóuh
poy̯˥	△	△	△	△	△	△	△	△	△	△	△	△	△
poy̯˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
poy̯˧	△	△	△	△	△	△	△	△	△	△	△	△	△
poy̯˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
poy̯˨	△	△	△	△	△	△	△	△	△	△	△	△	△
poy̯˩	△	△	△	△	△	△	△	△	△	△	△	△	△
poy̯˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
poŋ˥	△	△	△	△	△	△	△	△	△	△	△	△	△
poŋ˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
poŋ˧	△	△	△	△	△	△	△	△	△	△	△	△	△
poŋ˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
poŋ˨	△	△	△	△	△	△	△	△	△	△	△	△	△
poŋ˩	△	△	△	△	△	△	△	△	△	△	△	△	△
poŋ˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
puː˥	⠏⠥⠀	부	bu1	bu1	pu55^1	pu55^1	poo	bü	bu1	boo1°	ˈbu	ˈbu	bū
puː˥˧	↦ ⠏⠥⠀ [puː˥]	↦ 부 [puː˥]	↦ bu1 [puː˥]	↦ bu1 [puː˥]	pu53^1	pu53^1	↦ poo [puː˥]	↦ bü [puː˥]	↦ bu1 [puː˥]	boo1	↦ ˈbu [puː˥]	↦ ˈbu [puː˥]	bù
puː˧	⠏⠥⠈	부〮	bu3	bu3	pu33^3	pu33^3	poò	bû	bu3	boo3	ˉbu	ˉbu	bu
puː˧˥	⠏⠥⠁	부〯	bu2	bu2	pu35^2	pu35^2	poó	bũ	bu2	boo2	ˊbu	ˊbu	bú
puː˨	⠏⠥⠂	부̣	bu6	bu6	pu22_3	pu22_3	poō	bù	bu6	boo6	ˍbu	ˍbu	buh
puː˩	⠏⠥⠄	부̲	bu4	bu4	pu11_1	pu11_1	poô	bu	bu4	boo4	ˌbu	ˌbu	bùh
puː˩˧	⠏⠥⠠	부̤	bu5	bu5	pu13_2	pu13_2	poǒ	bú	bu5	boo5	ˏbu	ˏbu	búh
puːi̯˥	⠏⠳⠀	뷔	bui1	bui1	pui55^1	pui55^1	pooi	büi	bui1	booi1°	ˈbui	ˈbui	būi
puːi̯˥˧	↦ ⠏⠳⠀ [puːi̯˥]	↦ 뷔 [puːi̯˥]	↦ bui1 [puːi̯˥]	↦ bui1 [puːi̯˥]	pui53^1	pui53^1	↦ pooi [puːi̯˥]	↦ büi [puːi̯˥]	↦ bui1 [puːi̯˥]	booi1	↦ ˈbui [puːi̯˥]	↦ ˈbui [puːi̯˥]	bùi
puːi̯˧	⠏⠳⠈	뷔〮	bui3	bui3	pui33^3	pui33^3	pooì	bûi	bui3	booi3	ˉbui	ˉbui	bui
puːi̯˧˥	⠏⠳⠁	뷔〯	bui2	bui2	pui35^2	pui35^2	pooí	bũi	bui2	booi2	ˊbui	ˊbui	búi
puːi̯˨	⠏⠳⠂	뷔̣	bui6	bui6	pui22_3	pui22_3	pooī	bùi	bui6	booi6	ˍbui	ˍbui	buih
puːi̯˩	⠏⠳⠄	뷔̲	bui4	bui4	pui11_1	pui11_1	pooî	bui	bui4	booi4	ˌbui	ˌbui	bùih
puːi̯˩˧	⠏⠳⠠	뷔̤	bui5	bui5	pui13_2	pui13_2	pooǐ	búi	bui5	booi5	ˏbui	ˏbui	búih
puːk̚˥	△	△	↦ buk7 [pʊk̚˥]	↦ buk1 [pʊk̚˥]	↦ puk55^4 [pʊk̚˥]	↦ puk55^4 [pʊk̚˥]	pook	büg	↦ bug1 [pʊk̚˥]	book1°	↦ ˈbuk [pʊk̚˥]	↦ ˈbuk [pʊk̚˥]	↦ būk [pʊk̚˥]
puːk̚˥˧	△	△	↦ buk7 [pʊk̚˥]	↦ buk1 [pʊk̚˥]	⊖	⊖	↦ pook [puːk̚˥]	↦ büg [puːk̚˥]	↦ bug1 [pʊk̚˥]	book1	↦ ˈbuk [pʊk̚˥]	↦ ˈbuk [pʊk̚˥]	↦ bùk [pʊk̚˥˧]
puːk̚˧	△	△	↦ buk8 [pʊk̚˧]	↦ buk3 [pʊk̚˧]	↦ puk33-4 [pʊk̚˧]	↦ puk33-4 [pʊk̚˧]	poòk	bûg	↦ bug3 [pʊk̚˧]	book3	↦ ˉbuk [pʊk̚˧]	↦ ˉbuk [pʊk̚˧]	↦ buk [pʊk̚˧]
puːk̚˧˥	△	△	↦ buk2 [pʊk̚˧˥]	↦ buk2 [pʊk̚˧˥]	⊖	⊖	poók	bũg	↦ bug2 [pʊk̚˧˥]	book2	↦ ˊbuk [pʊk̚˧˥]	↦ ˊbuk [pʊk̚˧˥]	↦ búk [pʊk̚˧˥]
puːk̚˨	△	△	↦ buk9 [pʊk̚˨]	↦ buk6 [pʊk̚˨]	↦ puk22_4 [pʊk̚˨]	↦ puk22_4 [pʊk̚˨]	poōk	bùg	↦ bug6 [pʊk̚˨]	book6	↦ ˍbuk [pʊk̚˨]	↦ ˍbuk [pʊk̚˨]	↦ buhk [pʊk̚˨]
puːk̚˩	△	△	↦ buk4 [pʊk̚˩]	↦ buk4 [pʊk̚˩]	⊖	⊖	poôk	bug	↦ bug4 [pʊk̚˩]	book4	↦ ˌbuk [pʊk̚˩]	↦ ˌbuk [pʊk̚˩]	↦ bùhk [pʊk̚˩]
puːk̚˩˧	△	△	↦ buk5 [pʊk̚˩˧]	↦ buk5 [pʊk̚˩˧]	⊖	⊖	poǒk	búg	↦ bug5 [pʊk̚˩˧]	book5	↦ ˏbuk [pʊk̚˩˧]	↦ ˏbuk [pʊk̚˩˧]	↦ búhk [pʊk̚˩˧]
puːm˥	△	△	bum1	bum1	pum55^1	pum55^1	poom	büm	bum1	boom1°	ˈbum	ˈbum	būm
puːm˥˧	△	△	↦ bum1 [puːm˥]	↦ bum1 [puːm˥]	pum53^1	pum53^1	↦ poom [puːm˥]	↦ büm [puːm˥]	↦ bum1 [puːm˥]	boom1	↦ ˈbum [puːm˥]	↦ ˈbum [puːm˥]	bùm
puːm˧	△	△	bum3	bum3	pum33^3	pum33^3	poòm	bûm	bum3	boom3	ˉbum	ˉbum	bum
puːm˧˥	△	△	bum2	bum2	pum35^2	pum35^2	poóm	bũm	bum2	boom2	ˊbum	ˊbum	búm
puːm˨	△	△	bum6	bum6	pum22_3	pum22_3	poōm	bùm	bum6	boom6	ˍbum	ˍbum	buhm
puːm˩	△	△	bum4	bum4	pum11_1	pum11_1	poôm	bum	bum4	boom4	ˌbum	ˌbum	bùhm
puːm˩˧	△	△	bum5	bum5	pum13_2	pum13_2	poǒm	búm	bum5	boom5	ˏbum	ˏbum	búhm
puːn˥	⠏⠮⠀	분	bun1	bun1	pun55^1	pun55^1	poon	bün	bun1	boon1°	ˈbun	ˈbun	būn
puːn˥˧	↦ ⠏⠮⠀ [puːn˥]	↦ 분 [puːn˥]	↦ bun1 [puːn˥]	↦ bun1 [puːn˥]	pun53^1	pun53^1	↦ poon [puːn˥]	↦ bün [puːn˥]	↦ bun1 [puːn˥]	boon1	↦ ˈbun [puːn˥]	↦ ˈbun [puːn˥]	bùn
puːn˧	⠏⠮⠈	분〮	bun3	bun3	pun33^3	pun33^3	poòn	bûn	bun3	boon3	ˉbun	ˉbun	bun
puːn˧˥	⠏⠮⠁	분〯	bun2	bun2	pun35^2	pun35^2	poón	bũn	bun2	boon2	ˊbun	ˊbun	bún
puːn˨	⠏⠮⠂	분̣	bun6	bun6	pun22_3	pun22_3	poōn	bùn	bun6	boon6	ˍbun	ˍbun	buhn
puːn˩	⠏⠮⠄	분̲	bun4	bun4	pun11_1	pun11_1	poôn	bun	bun4	boon4	ˌbun	ˌbun	bùhn
puːn˩˧	⠏⠮⠠	분̤	bun5	bun5	pun13_2	pun13_2	poǒn	bún	bun5	boon5	ˏbun	ˏbun	búhn
puːp̚˥	△	△	bup7	bup1	pup55^4	pup55^4	poop	büb	bub1	boop1°	ˈbup	ˈbup	būp
puːp̚˥˧	△	△	↦ bup7 [puːp̚˥]	↦ bup1 [puːp̚˥]	⊖	⊖	↦ poop [puːp̚˥]	↦ büb [puːp̚˥]	↦ bub1 [puːp̚˥]	boop1	↦ ˈbup [puːp̚˥]	↦ ˈbup [puːp̚˥]	bùp
puːp̚˧	△	△	bup8	bup3	pup33-4	pup33-4	poòp	bûb	bub3	boop3	ˉbup	ˉbup	bup
puːp̚˧˥	△	△	bup2	bup2	⊖	⊖	poóp	bũb	bub2	boop2	ˊbup	ˊbup	búp
puːp̚˨	△	△	bup9	bup6	pup22_4	pup22_4	poōp	bùb	bub6	boop6	ˍbup	ˍbup	buhp
puːp̚˩	△	△	bup4	bup4	⊖	⊖	poôp	bub	bub4	boop4	ˌbup	ˌbup	bùhp
puːp̚˩˧	△	△	bup5	bup5	⊖	⊖	poǒp	búb	bub5	boop5	ˏbup	ˏbup	búhp
puːt̚˥	⠏⠵⠀	붇	but7	but1	put55^4	put55^4	poot	büd	bud1	boot1°	ˈbut	ˈbut	būt
puːt̚˥˧	↦ ⠏⠵⠀ [puːt̚˥]	↦ 붇 [puːt̚˥]	↦ but7 [puːt̚˥]	↦ but1 [puːt̚˥]	⊖	⊖	↦ poot [puːt̚˥]	↦ büd [puːt̚˥]	↦ bud1 [puːt̚˥]	boot1	↦ ˈbut [puːt̚˥]	↦ ˈbut [puːt̚˥]	bùt
puːt̚˧	⠏⠵⠈	붇〮	but8	but3	put33-4	put33-4	poòt	bûd	bud3	boot3	ˉbut	ˉbut	but
puːt̚˧˥	⠏⠵⠁	붇〯	but2	but2	⊖	⊖	poót	bũd	bud2	boot2	ˊbut	ˊbut	bút
puːt̚˨	⠏⠵⠂	붇̣	but9	but6	put22_4	put22_4	poōt	bùd	bud6	boot6	ˍbut	ˍbut	buht
puːt̚˩	⠏⠵⠄	붇̲	but4	but4	⊖	⊖	poôt	bud	bud4	boot4	ˌbut	ˌbut	bùht
puːt̚˩˧	⠏⠵⠠	붇̤	but5	but5	⊖	⊖	poǒt	búd	bud5	boot5	ˏbut	ˏbut	búht
puːy̯˥	△	△	△	△	puy55^1	puy55^1	△	△	△	△	ˈbuy	△	△
puːy̯˥˧	△	△	△	△	puy53^1	puy53^1	△	△	△	△	↦ ˈbuy [puːy̯˥]	△	△
puːy̯˧	△	△	△	△	puy33^3	puy33^3	△	△	△	△	ˉbuy	△	△
puːy̯˧˥	△	△	△	△	puy35^2	puy35^2	△	△	△	△	ˊbuy	△	△
puːy̯˨	△	△	△	△	puy22_3	puy22_3	△	△	△	△	ˍbuy	△	△
puːy̯˩	△	△	△	△	puy11_1	puy11_1	△	△	△	△	ˌbuy	△	△
puːy̯˩˧	△	△	△	△	puy13_2	puy13_2	△	△	△	△	ˏbuy	△	△
puːŋ˥	△	△	↦ bung1 [pʊŋ˥]	↦ bung1 [pʊŋ˥]	↦ puŋ55^1 [pʊŋ˥]	↦ pung55^1 [pʊŋ˥]	poong	büng	↦ bung1 [pʊŋ˥]	boong1°	↦ ˈbuŋ [pʊŋ˥]	↦ ˈbung [pʊŋ˥]	↦ būng [pʊŋ˥]
puːŋ˥˧	△	△	↦ bung1 [pʊŋ˥]	↦ bung1 [pʊŋ˥]	↦ puŋ53^1 [pʊŋ˥˧]	↦ pung53^1 [pʊŋ˥˧]	↦ poong [puːŋ˥]	↦ büng [puːŋ˥]	↦ bung1 [pʊŋ˥]	boong1	↦ ˈbuŋ [pʊŋ˥]	↦ ˈbung [pʊŋ˥]	↦ bùng [pʊŋ˥˧]
puːŋ˧	△	△	↦ bung3 [pʊŋ˧]	↦ bung3 [pʊŋ˧]	↦ puŋ33^3 [pʊŋ˧]	↦ pung33^3 [pʊŋ˧]	poòng	bûng	↦ bung3 [pʊŋ˧]	boong3	↦ ˉbuŋ [pʊŋ˧]	↦ ˉbung [pʊŋ˧]	↦ bung [pʊŋ˧]
puːŋ˧˥	△	△	↦ bung2 [pʊŋ˧˥]	↦ bung2 [pʊŋ˧˥]	↦ puŋ35^2 [pʊŋ˧˥]	↦ pung35^2 [pʊŋ˧˥]	poóng	bũng	↦ bung2 [pʊŋ˧˥]	boong2	↦ ˊbuŋ [pʊŋ˧˥]	↦ ˊbung [pʊŋ˧˥]	↦ búng [pʊŋ˧˥]
puːŋ˨	△	△	↦ bung6 [pʊŋ˨]	↦ bung6 [pʊŋ˨]	↦ puŋ22_3 [pʊŋ˨]	↦ pung22_3 [pʊŋ˨]	poōng	bùng	↦ bung6 [pʊŋ˨]	boong6	↦ ˍbuŋ [pʊŋ˨]	↦ ˍbung [pʊŋ˨]	↦ buhng [pʊŋ˨]
puːŋ˩	△	△	↦ bung4 [pʊŋ˩]	↦ bung4 [pʊŋ˩]	↦ puŋ11_1 [pʊŋ˩]	↦ pung11_1 [pʊŋ˩]	poông	bung	↦ bung4 [pʊŋ˩]	boong4	↦ ˌbuŋ [pʊŋ˩]	↦ ˌbung [pʊŋ˩]	↦ bùhng [pʊŋ˩]
puːŋ˩˧	△	△	↦ bung5 [pʊŋ˩˧]	↦ bung5 [pʊŋ˩˧]	↦ puŋ13_2 [pʊŋ˩˧]	↦ pung13_2 [pʊŋ˩˧]	poǒng	búng	↦ bung5 [pʊŋ˩˧]	boong5	↦ ˏbuŋ [pʊŋ˩˧]	↦ ˏbung [pʊŋ˩˧]	↦ búhng [pʊŋ˩˧]
pyː˥	⠏⠹⠀	브	by1	byu1	py55^1	pyu55^1	pue	beü	bü1	bue1°	ˈby	ˈbue	byū
pyː˥˧	↦ ⠏⠹⠀ [pyː˥]	↦ 브 [pyː˥]	↦ by1 [pyː˥]	↦ byu1 [pyː˥]	py53^1	pyu53^1	↦ pue [pyː˥]	↦ beü [pyː˥]	↦ bü1 [pyː˥]	bue1	↦ ˈby [pyː˥]	↦ ˈbue [pyː˥]	byù
pyː˧	⠏⠹⠈	브〮	by3	byu3	py33^3	pyu33^3	puè	beû	bü3	bue3	ˉby	ˉbue	byu
pyː˧˥	⠏⠹⠁	브〯	by2	byu2	py35^2	pyu35^2	pué	beũ	bü2	bue2	ˊby	ˊbue	byú
pyː˨	⠏⠹⠂	브̣	by6	byu6	py22_3	pyu22_3	puē	beù	bü6	bue6	ˍby	ˍbue	byuh
pyː˩	⠏⠹⠄	브̲	by4	byu4	py11_1	pyu11_1	puê	beu	bü4	bue4	ˌby	ˌbue	byùh
pyː˩˧	⠏⠹⠠	브̤	by5	byu5	py13_2	pyu13_2	puě	beú	bü5	bue5	ˏby	ˏbue	byúh
pyːi̯˥	△	△	byi1	byui1	pyi55^1	pyui55^1	puei	beüi	büi1	buei1°	ˈbyi	ˈbuei	byūi
pyːi̯˥˧	△	△	↦ byi1 [pyːi̯˥]	↦ byui1 [pyːi̯˥]	pyi53^1	pyui53^1	↦ puei [pyːi̯˥]	↦ beüi [pyːi̯˥]	↦ büi1 [pyːi̯˥]	buei1	↦ ˈbyi [pyːi̯˥]	↦ ˈbuei [pyːi̯˥]	byùi
pyːi̯˧	△	△	byi3	byui3	pyi33^3	pyui33^3	pueì	beûi	büi3	buei3	ˉbyi	ˉbuei	byui
pyːi̯˧˥	△	△	byi2	byui2	pyi35^2	pyui35^2	pueí	beũi	büi2	buei2	ˊbyi	ˊbuei	byúi
pyːi̯˨	△	△	byi6	byui6	pyi22_3	pyui22_3	pueī	beùi	büi6	buei6	ˍbyi	ˍbuei	byuih
pyːi̯˩	△	△	byi4	byui4	pyi11_1	pyui11_1	pueî	beui	büi4	buei4	ˌbyi	ˌbuei	byùih
pyːi̯˩˧	△	△	byi5	byui5	pyi13_2	pyui13_2	pueǐ	beúi	büi5	buei5	ˏbyi	ˏbuei	byúih
pyːk̚˥	△	△	byk7	byuk1	pyk55^4	pyuk55^4	puek	beüg	büg1	buek1°	ˈbyk	ˈbuek	byūk
pyːk̚˥˧	△	△	↦ byk7 [pyːk̚˥]	↦ byuk1 [pyːk̚˥]	⊖	⊖	↦ puek [pyːk̚˥]	↦ beüg [pyːk̚˥]	↦ büg1 [pyːk̚˥]	buek1	↦ ˈbyk [pyːk̚˥]	↦ ˈbuek [pyːk̚˥]	byùk
pyːk̚˧	△	△	byk8	byuk3	pyk33-4	pyuk33-4	puèk	beûg	büg3	buek3	ˉbyk	ˉbuek	byuk
pyːk̚˧˥	△	△	byk2	byuk2	⊖	⊖	puék	beũg	büg2	buek2	ˊbyk	ˊbuek	byúk
pyːk̚˨	△	△	byk9	byuk6	pyk22_4	pyuk22_4	puēk	beùg	büg6	buek6	ˍbyk	ˍbuek	byuhk
pyːk̚˩	△	△	byk4	byuk4	⊖	⊖	puêk	beug	büg4	buek4	ˌbyk	ˌbuek	byùhk
pyːk̚˩˧	△	△	byk5	byuk5	⊖	⊖	puěk	beúg	büg5	buek5	ˏbyk	ˏbuek	byúhk
pyːm˥	△	△	bym1	byum1	pym55^1	pyum55^1	puem	beüm	büm1	buem1°	ˈbym	ˈbuem	byūm
pyːm˥˧	△	△	↦ bym1 [pyːm˥]	↦ byum1 [pyːm˥]	pym53^1	pyum53^1	↦ puem [pyːm˥]	↦ beüm [pyːm˥]	↦ büm1 [pyːm˥]	buem1	↦ ˈbym [pyːm˥]	↦ ˈbuem [pyːm˥]	byùm
pyːm˧	△	△	bym3	byum3	pym33^3	pyum33^3	puèm	beûm	büm3	buem3	ˉbym	ˉbuem	byum
pyːm˧˥	△	△	bym2	byum2	pym35^2	pyum35^2	puém	beũm	büm2	buem2	ˊbym	ˊbuem	byúm
pyːm˨	△	△	bym6	byum6	pym22_3	pyum22_3	puēm	beùm	büm6	buem6	ˍbym	ˍbuem	byuhm
pyːm˩	△	△	bym4	byum4	pym11_1	pyum11_1	puêm	beum	büm4	buem4	ˌbym	ˌbuem	byùhm
pyːm˩˧	△	△	bym5	byum5	pym13_2	pyum13_2	puěm	beúm	büm5	buem5	ˏbym	ˏbuem	byúhm
pyːn˥	⠏⠆⠀	븐	byn1	byun1	pyn55^1	pyun55^1	puen	beün	bün1	buen1°	ˈbyn	ˈbuen	byūn
pyːn˥˧	↦ ⠏⠆⠀ [pyːn˥]	↦ 븐 [pyːn˥]	↦ byn1 [pyːn˥]	↦ byun1 [pyːn˥]	pyn53^1	pyun53^1	↦ puen [pyːn˥]	↦ beün [pyːn˥]	↦ bün1 [pyːn˥]	buen1	↦ ˈbyn [pyːn˥]	↦ ˈbuen [pyːn˥]	byùn
pyːn˧	⠏⠆⠈	븐〮	byn3	byun3	pyn33^3	pyun33^3	puèn	beûn	bün3	buen3	ˉbyn	ˉbuen	byun
pyːn˧˥	⠏⠆⠁	븐〯	byn2	byun2	pyn35^2	pyun35^2	puén	beũn	bün2	buen2	ˊbyn	ˊbuen	byún
pyːn˨	⠏⠆⠂	븐̣	byn6	byun6	pyn22_3	pyun22_3	puēn	beùn	bün6	buen6	ˍbyn	ˍbuen	byuhn
pyːn˩	⠏⠆⠄	븐̲	byn4	byun4	pyn11_1	pyun11_1	puên	beun	bün4	buen4	ˌbyn	ˌbuen	byùhn
pyːn˩˧	⠏⠆⠠	븐̤	byn5	byun5	pyn13_2	pyun13_2	puěn	beún	bün5	buen5	ˏbyn	ˏbuen	byúhn
pyːp̚˥	△	△	byp7	byup1	pyp55^4	pyup55^4	puep	beüb	büb1	buep1°	ˈbyp	ˈbuep	byūp
pyːp̚˥˧	△	△	↦ byp7 [pyːp̚˥]	↦ byup1 [pyːp̚˥]	⊖	⊖	↦ puep [pyːp̚˥]	↦ beüb [pyːp̚˥]	↦ büb1 [pyːp̚˥]	buep1	↦ ˈbyp [pyːp̚˥]	↦ ˈbuep [pyːp̚˥]	byùp
pyːp̚˧	△	△	byp8	byup3	pyp33-4	pyup33-4	puèp	beûb	büb3	buep3	ˉbyp	ˉbuep	byup
pyːp̚˧˥	△	△	byp2	byup2	⊖	⊖	puép	beũb	büb2	buep2	ˊbyp	ˊbuep	byúp
pyːp̚˨	△	△	byp9	byup6	pyp22_4	pyup22_4	puēp	beùb	büb6	buep6	ˍbyp	ˍbuep	byuhp
pyːp̚˩	△	△	byp4	byup4	⊖	⊖	puêp	beub	büb4	buep4	ˌbyp	ˌbuep	byùhp
pyːp̚˩˧	△	△	byp5	byup5	⊖	⊖	puěp	beúb	büb5	buep5	ˏbyp	ˏbuep	byúhp
pyːt̚˥	⠏⠷⠀	븓	byt7	byut1	pyt55^4	pyut55^4	puet	beüd	büd1	buet1°	ˈbyt	ˈbuet	byūt
pyːt̚˥˧	↦ ⠏⠷⠀ [pyːt̚˥]	↦ 븓 [pyːt̚˥]	↦ byt7 [pyːt̚˥]	↦ byut1 [pyːt̚˥]	⊖	⊖	↦ puet [pyːt̚˥]	↦ beüd [pyːt̚˥]	↦ büd1 [pyːt̚˥]	buet1	↦ ˈbyt [pyːt̚˥]	↦ ˈbuet [pyːt̚˥]	byùt
pyːt̚˧	⠏⠷⠈	븓〮	byt8	byut3	pyt33-4	pyut33-4	puèt	beûd	büd3	buet3	ˉbyt	ˉbuet	byut
pyːt̚˧˥	⠏⠷⠁	븓〯	byt2	byut2	⊖	⊖	puét	beũd	büd2	buet2	ˊbyt	ˊbuet	byút
pyːt̚˨	⠏⠷⠂	븓̣	byt9	byut6	pyt22_4	pyut22_4	puēt	beùd	büd6	buet6	ˍbyt	ˍbuet	byuht
pyːt̚˩	⠏⠷⠄	븓̲	byt4	byut4	⊖	⊖	puêt	beud	büd4	buet4	ˌbyt	ˌbuet	byùht
pyːt̚˩˧	⠏⠷⠠	븓̤	byt5	byut5	⊖	⊖	puět	beúd	büd5	buet5	ˏbyt	ˏbuet	byúht
pyːu̯˥	△	△	byu1	byuu1	pyu55^1	pyuu55^1	pueu	beüu	büu1	bueu1°	ˈbyu	ˈbueu	byūu
pyːu̯˥˧	△	△	↦ byu1 [pyːu̯˥]	↦ byuu1 [pyːu̯˥]	pyu53^1	pyuu53^1	↦ pueu [pyːu̯˥]	↦ beüu [pyːu̯˥]	↦ büu1 [pyːu̯˥]	bueu1	↦ ˈbyu [pyːu̯˥]	↦ ˈbueu [pyːu̯˥]	byùu
pyːu̯˧	△	△	byu3	byuu3	pyu33^3	pyuu33^3	pueù	beûu	büu3	bueu3	ˉbyu	ˉbueu	byuu
pyːu̯˧˥	△	△	byu2	byuu2	pyu35^2	pyuu35^2	pueú	beũu	büu2	bueu2	ˊbyu	ˊbueu	byúu
pyːu̯˨	△	△	byu6	byuu6	pyu22_3	pyuu22_3	pueū	beùu	büu6	bueu6	ˍbyu	ˍbueu	byuuh
pyːu̯˩	△	△	byu4	byuu4	pyu11_1	pyuu11_1	pueû	beuu	büu4	bueu4	ˌbyu	ˌbueu	byùuh
pyːu̯˩˧	△	△	byu5	byuu5	pyu13_2	pyuu13_2	pueǔ	beúu	büu5	bueu5	ˏbyu	ˏbueu	byúuh
pyːŋ˥	△	△	byng1	byung1	pyŋ55^1	pyung55^1	pueng	beüng	büng1	bueng1°	ˈbyŋ	ˈbueng	byūng
